City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,paita,-5.0892,-81.1144,25.78,80,100,2.05,PE,1682233267
260,atafu village,-8.5421,-172.5159,28.93,73,71,3.21,TK,1682233270
261,archangelos,36.2149,28.1149,17.39,48,6,2.22,GR,1682233272
262,mingshui,36.7167,117.5,11.39,62,100,3.94,CN,1682233275
263,fort mcmurray,56.7268,-111.381,2.73,51,0,3.09,CA,1682233133
264,yamada,39.4667,141.95,10.63,48,97,6.77,JP,1682233280
265,flying fish cove,-10.4217,105.6791,27.55,77,70,7.03,CX,1682233283
266,carolina beach,34.0352,-77.8936,15.03,95,7,5.43,US,1682232988
267,kutum,14.2,24.6667,32.11,15,17,4.03,SD,1682233127
268,joshimath,30.5667,79.5667,18.38,30,34,2.66,IN,1682233291
269,rio grande,-32.035,-52.0986,18.08,88,100,2.35,BR,1682233295
270,saint-pierre,-21.3393,55.4781,29.2,61,0,2.57,RE,1682233298
271,luderitz,-26.6481,15.1594,19.62,42,76,2.78,NA,1682233300
272,mournies,35.4764,24.0092,19.35,82,75,20.58,GR,1682233303
273,campo mourao,-24.0456,-52.3831,13.0,92,0,2.74,BR,1682233305
274,tofol,5.3248,163.0078,28.36,78,100,5.68,FM,1682233308
275,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1682233310
276,kargasok,59.0556,80.8572,3.96,89,100,4.27,RU,1682233313
277,dudinka,69.4058,86.1778,1.46,98,100,8.7,RU,1682233315
278,sinan,34.8262,126.1086,18.06,72,100,4.13,KR,1682233318
279,manacapuru,-3.2997,-60.6206,23.01,98,100,0.88,BR,1682233320
280,san patricio,28.017,-97.5169,23.93,86,67,6.35,US,1682232841
281,fortuna,40.5982,-124.1573,11.86,93,68,1.07,US,1682233326
282,tsiombe,-25.3,45.4833,27.76,58,4,2.16,MG,1682233328
283,adra,36.7496,-3.0206,19.96,62,95,2.02,ES,1682232756
284,inarajan village,13.2736,144.7484,27.66,92,100,6.97,GU,1682233334
285,barentu,15.1139,37.5928,31.51,23,100,1.8,ER,1682233337
